No.;Time;;No;Time;Time 2;;Delay;Total Delay ;;Delay 1;Delay 2;;Jitter;Total Jitter
1;0.000000;;1;0;0,040254;;0,040254;59,274126;;-0,669723;0,664386;;1,334109;0,710869
2;0.040254;;2;0,040254;0,750231;;0,709977;;;0,664386;-0,981177;;-1,645563;
3;0.750231;;3;0,750231;0,795822;;0,045591;;;-0,981177;0,986925;;1,968102;
4;0.795822;;4;0,795822;1,82259;;1,026768;Rata - Rata Delay;;0,986925;-0,037924;;-1,024849;Rata - Rata Jitter
5;1.822.590;;5;1,82259;1,862433;;0,039843;0,017902182;;-0,037924;0,070378;;0,108302;0,000214699
6;1.862.433;;6;1,862433;1,9402;;0,077767;;;0,070378;-0,029825;;-0,100203;
7;1.940.200;;7;1,9402;1,947589;;0,007389;;;-0,029825;0,036501;;0,066326;
8;1.947.589;;8;1,947589;1,984803;;0,037214;;;0,036501;-0,781728;;-0,818229;
9;1.984.803;;9;1,984803;1,985516;;0,000713;;;-0,781728;0,782167;;1,563895;
10;1.985.516;;10;1,985516;2,767957;;0,782441;;;0,782167;-9,4E-05;;-0,782261;
11;2.767.957;;11;2,767957;2,768231;;0,000274;;;-9,4E-05;0,000224;;0,000318;
12;2.768.231;;12;2,768231;2,768599;;0,000368;;;0,000224;-0,000221;;-0,000445;
13;2.768.599;;13;2,768599;2,768743;;0,000144;;;-0,000221;3,2E-05;;0,000253;
14;2.768.743;;14;2,768743;2,769108;;0,000365;;;3,2E-05;-0,002622;;-0,002654;
15;2.769.108;;15;2,769108;2,769441;;0,000333;;;-0,002622;-0,025751;;-0,023129;
16;2.769.441;;16;2,769441;2,772396;;0,002955;;;-0,025751;0,028652;;0,054403;
17;2.772.396;;17;2,772396;2,801102;;0,028706;;;0,028652;-0,000159;;-0,028811;
18;2.801.102;;18;2,801102;2,801156;;5,4E-05;;;-0,000159;0,000156;;0,000315;
19;2.801.156;;19;2,801156;2,801369;;0,000213;;;0,000156;-0,001678;;-0,001834;
20;2.801.369;;20;2,801369;2,801426;;5,7E-05;;;-0,001678;0,001239;;0,002917;
21;2.801.426;;21;2,801426;2,803161;;0,001735;;;0,001239;-0,007707;;-0,008946;
22;2.803.161;;22;2,803161;2,803657;;0,000496;;;-0,007707;-0,001769;;0,005938;
23;2.803.657;;23;2,803657;2,81186;;0,008203;;;-0,001769;0,009409;;0,011178;
24;2.811.860;;24;2,81186;2,821832;;0,009972;;;0,009409;-0,04803;;-0,057439;
25;2.821.832;;25;2,821832;2,822395;;0,000563;;;-0,04803;0,048341;;0,096371;
26;2.822.395;;26;2,822395;2,870988;;0,048593;;;0,048341;-0,00084;;-0,049181;
27;2.870.988;;27;2,870988;2,87124;;0,000252;;;-0,00084;0,001048;;0,001888;
28;2.871.240;;28;2,87124;2,872332;;0,001092;;;0,001048;7E-06;;-0,001041;
29;2.872.332;;29;2,872332;2,872376;;4,4E-05;;;7E-06;-2E-06;;-9E-06;
30;2.872.376;;30;2,872376;2,872413;;3,7E-05;;;-2E-06;-0,001661;;-0,001659;
31;2.872.413;;31;2,872413;2,872452;;3,9E-05;;;-0,001661;-0,000405;;0,001256;
32;2.872.452;;32;2,872452;2,874152;;0,0017;;;-0,000405;0,002059;;0,002464;
33;2.874.152;;33;2,874152;2,876257;;0,002105;;;0,002059;1,1E-05;;-0,002048;
34;2.876.257;;34;2,876257;2,876303;;4,6E-05;;;1,1E-05;-0,000255;;-0,000266;
35;2.876.303;;35;2,876303;2,876338;;3,5E-05;;;-0,000255;0,000228;;0,000483;
36;2.876.338;;36;2,876338;2,876628;;0,00029;;;0,000228;-6,5E-05;;-0,000293;
37;2.876.628;;37;2,876628;2,87669;;6,2E-05;;;-6,5E-05;-0,000326;;-0,000261;
38;2.876.690;;38;2,87669;2,876817;;0,000127;;;-0,000326;-0,047675;;-0,047349;
39;2.876.817;;39;2,876817;2,87727;;0,000453;;;-0,047675;0,047924;;0,095599;
40;2.877.270;;40;2,87727;2,925398;;0,048128;;;0,047924;-3,8E-05;;-0,047962;
41;2.925.398;;41;2,925398;2,925602;;0,000204;;;-3,8E-05;8,5E-05;;0,000123;
42;2.925.602;;42;2,925602;2,925844;;0,000242;;;8,5E-05;-0,001055;;-0,00114;
43;2.925.844;;43;2,925844;2,926001;;0,000157;;;-0,001055;0,001146;;0,002201;
44;2.926.001;;44;2,926001;2,927213;;0,001212;;;0,001146;-0,000135;;-0,001281;
45;2.927.213;;45;2,927213;2,927279;;6,6E-05;;;-0,000135;-0,0078;;-0,007665;
46;2.927.279;;46;2,927279;2,92748;;0,000201;;;-0,0078;0,002275;;0,010075;
47;2.927.480;;47;2,92748;2,935481;;0,008001;;;0,002275;0,005682;;0,003407;
48;2.935.481;;48;2,935481;2,941207;;0,005726;;;0,005682;-0,009104;;-0,014786;
49;2.941.207;;49;2,941207;2,941251;;4,4E-05;;;-0,009104;0,00912;;0,018224;
50;2.941.251;;50;2,941251;2,950399;;0,009148;;;0,00912;8E-06;;-0,009112;
51;2.950.399;;51;2,950399;2,950427;;2,8E-05;;;8E-06;6E-06;;-2E-06;
52;2.950.427;;52;2,950427;2,950447;;2E-05;;;6E-06;-4,2E-05;;-4,8E-05;
53;2.950.447;;53;2,950447;2,950461;;1,4E-05;;;-4,2E-05;1E-05;;5,2E-05;
54;2.950.461;;54;2,950461;2,950517;;5,6E-05;;;1E-05;-0,00012;;-0,00013;
55;2.950.517;;55;2,950517;2,950563;;4,6E-05;;;-0,00012;0,000117;;0,000237;
56;2.950.563;;56;2,950563;2,950729;;0,000166;;;0,000117;-0,000307;;-0,000424;
57;2.950.729;;57;2,950729;2,950778;;4,9E-05;;;-0,000307;0,000169;;0,000476;
58;2.950.778;;58;2,950778;2,951134;;0,000356;;;0,000169;-0,004691;;-0,00486;
59;2.951.134;;59;2,951134;2,951321;;0,000187;;;-0,004691;-0,028341;;-0,02365;
60;2.951.321;;60;2,951321;2,956199;;0,004878;;;-0,028341;0,033201;;0,061542;
61;2.956.199;;61;2,956199;2,989418;;0,033219;;;0,033201;-2,3E-05;;-0,033224;
62;2.989.418;;62;2,989418;2,989436;;1,8E-05;;;-2,3E-05;1,8E-05;;4,1E-05;
63;2.989.436;;63;2,989436;2,989477;;4,1E-05;;;1,8E-05;-2E-06;;-2E-05;
64;2.989.477;;64;2,989477;2,9895;;2,3E-05;;;-2E-06;-0,00011;;-0,000108;
65;2.989.500;;65;2,9895;2,989525;;2,5E-05;;;-0,00011;-0,003398;;-0,003288;
66;2.989.525;;66;2,989525;2,98966;;0,000135;;;-0,003398;0,003489;;0,006887;
67;2.989.660;;67;2,98966;2,993193;;0,003533;;;0,003489;-0,000171;;-0,00366;
68;2.993.193;;68;2,993193;2,993237;;4,4E-05;;;-0,000171;0,000173;;0,000344;
69;2.993.237;;69;2,993237;2,993452;;0,000215;;;0,000173;-0,011024;;-0,011197;
70;2.993.452;;70;2,993452;2,993494;;4,2E-05;;;-0,011024;0,011021;;0,022045;
71;2.993.494;;71;2,993494;3,00456;;0,011066;;;0,011021;4E-05;;-0,010981;
72;3.004.560;;72;3,00456;3,004605;;4,5E-05;;;4E-05;-6,7E-05;;-0,000107;
73;3.004.605;;73;3,004605;3,00461;;5E-06;;;-6,7E-05;6,8E-05;;0,000135;
74;3.004.610;;74;3,00461;3,004682;;7,2E-05;;;6,8E-05;-1,8E-05;;-8,6E-05;
75;3.004.682;;75;3,004682;3,004686;;4E-06;;;-1,8E-05;-5,1E-05;;-3,3E-05;
76;3.004.686;;76;3,004686;3,004708;;2,2E-05;;;-5,1E-05;3,6E-05;;8,7E-05;
77;3.004.708;;77;3,004708;3,004781;;7,3E-05;;;3,6E-05;1,3E-05;;-2,3E-05;
78;3.004.781;;78;3,004781;3,004818;;3,7E-05;;;1,3E-05;-2,3E-05;;-3,6E-05;
79;3.004.818;;79;3,004818;3,004842;;2,4E-05;;;-2,3E-05;3,2E-05;;5,5E-05;
80;3.004.842;;80;3,004842;3,004889;;4,7E-05;;;3,2E-05;-3,1E-05;;-6,3E-05;
81;3.004.889;;81;3,004889;3,004904;;1,5E-05;;;-3,1E-05;-0,001478;;-0,001447;
82;3.004.904;;82;3,004904;3,00495;;4,6E-05;;;-0,001478;-0,047401;;-0,045923;
83;3.004.950;;83;3,00495;3,006474;;0,001524;;;-0,047401;0,020073;;0,067474;
