No.;Time;;No.;Time;Time 2;;Delay;Total Delay;;Delay 1;Delay 2;;Jitter ;Total Jitter
1;0;;1;0;0,000078;;0,000078;359,507961;;-0,360034;0,319901;;0,679935;360,163043
2;0,000078;;2;0,000078;0,36019;;0,360112;;;0,319901;-0,067258;;-0,387159;
3;0,36019;;3;0,36019;0,400401;;0,040211;Rata - Rata Delay;;-0,067258;-0,004343;;0,062915;Rata - rata Jitter 
4;0,400401;;4;0,400401;0,50787;;0,107469;0,045920036;;-0,004343;0,071573;;0,075916;0,04600371
5;0,50787;;5;0,50787;0,619682;;0,111812;;;0,071573;-0,159778;;-0,231351;
6;0,619682;;6;0,619682;0,659921;;0,040239;;;-0,159778;0,114135;;0,273913;
7;0,659921;;7;0,659921;0,859938;;0,200017;;;0,114135;-0,208646;;-0,322781;
8;0,859938;;8;0,859938;0,94582;;0,085882;;;-0,208646;0,253636;;0,462282;
9;0,94582;;9;0,94582;1,240348;;0,294528;;;0,253636;-1,742474;;-1,99611;
10;1.240.348;;10;1,240348;1,28124;;0,040892;;;-1,742474;-1,642659;;0,099815;
11;1.281.240;;11;1,28124;3,064606;;1,783366;;;-1,642659;3,39737;;5,040029;
12;3.064.606;;12;3,064606;6,490631;;3,426025;;;3,39737;0,027829;;-3,369541;
13;6.490.631;;13;6,490631;6,519286;;0,028655;;;0,027829;-0,366369;;-0,394198;
14;6.519.286;;14;6,519286;6,520112;;0,000826;;;-0,366369;0,367053;;0,733422;
15;6.520.112;;15;6,520112;6,887307;;0,367195;;;0,367053;-0,000249;;-0,367302;
16;6.887.307;;16;6,887307;6,887449;;0,000142;;;-0,000249;-0,35196;;-0,351711;
17;6.887.449;;17;6,887449;6,88784;;0,000391;;;-0,35196;0,352334;;0,704294;
18;6.887.840;;18;6,88784;7,240191;;0,352351;;;0,352334;-0,000054;;-0,352388;
19;7.240.191;;19;7,240191;7,240208;;1,70E-05;;;-0,000054;0,00005;;0,000104;
20;7.240.208;;20;7,240208;7,240279;;7,10E-05;;;0,00005;-0,000007;;-0,000057;
21;7.240.279;;21;7,240279;7,2403;;2,10E-05;;;-0,000007;0,00002;;0,000027;
22;7.240.300;;22;7,2403;7,240328;;2,80E-05;;;0,00002;-0,000006;;-0,000026;
23;7.240.328;;23;7,240328;7,240336;;8,00E-06;;;-0,000006;-0,001932;;-0,001926;
24;7.240.336;;24;7,240336;7,24035;;1,40E-05;;;-0,001932;-0,356252;;-0,35432;
25;7.240.350;;25;7,24035;7,242296;;0,001946;;;-0,356252;0,356817;;0,713069;
26;7.242.296;;26;7,242296;7,600494;;0,358198;;;0,356817;-0,357278;;-0,714095;
27;7.600.494;;27;7,600494;7,601875;;0,001381;;;-0,357278;0,358402;;0,71568;
28;7.601.875;;28;7,601875;7,960534;;0,358659;;;0,358402;-0,35954;;-0,717942;
29;7.960.534;;29;7,960534;7,960791;;0,000257;;;-0,35954;0,359778;;0,719318;
30;7.960.791;;30;7,960791;8,320588;;0,359797;;;0,359778;0,000013;;-0,359765;
31;8.320.588;;31;8,320588;8,320607;;1,90E-05;;;0,000013;-0,000063;;-0,000076;
32;8.320.607;;32;8,320607;8,320613;;6,00E-06;;;-0,000063;-0,002451;;-0,002388;
33;8.320.613;;33;8,320613;8,320682;;6,90E-05;;;-0,002451;-0,060757;;-0,058306;
34;8.320.682;;34;8,320682;8,323202;;0,00252;;;-0,060757;0,06271;;0,123467;
35;8.323.202;;35;8,323202;8,386479;;0,063277;;;0,06271;-0,249267;;-0,311977;
36;8.386.479;;36;8,386479;8,387046;;0,000567;;;-0,249267;0,1673;;0,416567;
37;8.387.046;;37;8,387046;8,63688;;0,249834;;;0,1673;0,082405;;-0,084895;
38;8.636.880;;38;8,63688;8,719414;;0,082534;;;0,082405;-0,000232;;-0,082637;
39;8.719.414;;39;8,719414;8,719543;;0,000129;;;-0,000232;-0,336443;;-0,336211;
40;8.719.543;;40;8,719543;8,719904;;0,000361;;;-0,336443;0,336785;;0,673228;
41;8.719.904;;41;8,719904;9,056708;;0,336804;;;0,336785;0,00001;;-0,336775;
42;9.056.708;;42;9,056708;9,056727;;1,90E-05;;;0,00001;0,000002;;-0,000008;
43;9.056.727;;43;9,056727;9,056736;;9,00E-06;;;0,000002;-0,000068;;-0,00007;
44;9.056.736;;44;9,056736;9,056743;;7,00E-06;;;-0,000068;0,000038;;0,000106;
45;9.056.743;;45;9,056743;9,056818;;7,50E-05;;;0,000038;0,00002;;-0,000018;
46;9.056.818;;46;9,056818;9,056855;;3,70E-05;;;0,00002;-0,001686;;-0,001706;
47;9.056.855;;47;9,056855;9,056872;;1,70E-05;;;-0,001686;-0,339839;;-0,338153;
48;9.056.872;;48;9,056872;9,058575;;0,001703;;;-0,339839;0,340311;;0,68015;
49;9.058.575;;49;9,058575;9,400117;;0,341542;;;0,340311;-0,23625;;-0,576561;
50;9.400.117;;50;9,400117;9,401348;;0,001231;;;-0,23625;0,169421;;0,405671;
51;9.401.348;;51;9,401348;9,638829;;0,237481;;;0,169421;0,06775;;-0,101671;
52;9.638.829;;52;9,638829;9,706889;;0,06806;;;0,06775;-0,281292;;-0,349042;
53;9.706.889;;53;9,706889;9,707199;;0,00031;;;-0,281292;0,247249;;0,528541;
54;9.707.199;;54;9,707199;9,988801;;0,281602;;;0,247249;0,034337;;-0,212912;
55;9.988.801;;55;9,988801;10,023154;;0,034353;;;0,034337;0,00001;;-0,034327;
56;10.023.154;;56;10,023154;10,02317;;1,60E-05;;;0,00001;-0,000003;;-0,000013;
57;10.023.170;;57;10,02317;10,023176;;6,00E-06;;;-0,000003;0,000002;;0,000005;
58;10.023.176;;58;10,023176;10,023185;;9,00E-06;;;0,000002;0,000002;;0;
59;10.023.185;;59;10,023185;10,023192;;7,00E-06;;;0,000002;-0,000075;;-0,000077;
60;10.023.192;;60;10,023192;10,023197;;5,00E-06;;;-0,000075;0,000052;;0,000127;
61;10.023.197;;61;10,023197;10,023277;;8,00E-05;;;0,000052;-0,337428;;-0,33748;
62;10.023.277;;62;10,023277;10,023305;;2,80E-05;;;-0,337428;0,337439;;0,674867;
63;10.023.305;;63;10,023305;10,360761;;0,337456;;;0,337439;0,000011;;-0,337428;
64;10.360.761;;64;10,360761;10,360778;;1,70E-05;;;0,000011;-0,040812;;-0,040823;
65;10.360.778;;65;10,360778;10,360784;;6,00E-06;;;-0,040812;-1,195151;;-1,154339;
66;10.360.784;;66;10,360784;10,401602;;0,040818;;;-1,195151;-1,287213;;-0,092062;
67;10.401.602;;67;10,401602;11,637571;;1,235969;;;-1,287213;2,045571;;3,332784;
68;11.637.571;;68;11,637571;14,160753;;2,523182;;;2,045571;-2,141881;;-4,187452;
69;14.160.753;;69;14,160753;14,638364;;0,477611;;;-2,141881;2,4574;;4,599281;
