No.;Time;;No.;Time;Time 2;;Delay;Total Delay;;Delay 1;Delay 2;;Jitter;Total Jitter
1;0;;1;0;0,018608;;0,018608;24,354134;;0,018479;-0,061286;;-0,079765;-0,018479
2;0,018608;;2;0,018608;0,018737;;0,000129;;;-0,061286;0,033149;;0,094435;
3;0,018737;;3;0,018737;0,080152;;0,061415;Rata - Rata Delay;;0,033149;0,020683;;-0,012466;
4;0,080152;;4;0,080152;0,108418;;0,028266;0,025342491;;0,020683;-0,037643;;-0,058326;Rata-Rata Jitter
5;0,108418;;5;0,108418;0,116001;;0,007583;;;-0,037643;0,044341;;0,081984;-1,92289E-05
6;0,116001;;6;0,116001;0,161227;;0,045226;;;0,044341;-0,155186;;-0,199527;-52004,97862
7;0,161227;;7;0,161227;0,162112;;0,000885;;;-0,155186;0,100898;;0,256084;
8;0,162112;;8;0,162112;0,318183;;0,156071;;;0,100898;0,053868;;-0,04703;1922,89 ms
9;0,318183;;9;0,318183;0,373356;;0,055173;;;0,053868;-0,005177;;-0,059045;
10;0,373356;;10;0,373356;0,374661;;0,001305;;;-0,005177;-0,012318;;-0,007141;
11;0,374661;;11;0,374661;0,381143;;0,006482;;;-0,012318;0,005657;;0,017975;
12;0,381143;;12;0,381143;0,399943;;0,0188;;;0,005657;-0,032781;;-0,038438;
13;0,399943;;13;0,399943;0,413086;;0,013143;;;-0,032781;0,041745;;0,074526;
14;0,413086;;14;0,413086;0,45901;;0,045924;;;0,041745;0,004153;;-0,037592;
15;0,45901;;15;0,45901;0,463189;;0,004179;;;0,004153;-0,000293;;-0,004446;
16;0,463189;;16;0,463189;0,463215;;2,6E-05;;;-0,000293;0,000308;;0,000601;
17;0,463215;;17;0,463215;0,463534;;0,000319;;;0,000308;-0,116467;;-0,116775;
18;0,463534;;18;0,463534;0,463545;;1,1E-05;;;-0,116467;0,116416;;0,232883;
19;0,463545;;19;0,463545;0,580023;;0,116478;;;0,116416;-0,072125;;-0,188541;
20;0,580023;;20;0,580023;0,580085;;6,2E-05;;;-0,072125;0,046236;;0,118361;
21;0,580085;;21;0,580085;0,652272;;0,072187;;;0,046236;0,025436;;-0,0208;
22;0,652272;;22;0,652272;0,678223;;0,025951;;;0,025436;-0,100039;;-0,125475;
23;0,678223;;23;0,678223;0,678738;;0,000515;;;-0,100039;0,100509;;0,200548;
24;0,678738;;24;0,678738;0,779292;;0,100554;;;0,100509;-0,001125;;-0,101634;
25;0,779292;;25;0,779292;0,779337;;4,5E-05;;;-0,001125;-0,032106;;-0,030981;
26;0,779337;;26;0,779337;0,780507;;0,00117;;;-0,032106;-0,020036;;0,01207;
27;0,780507;;27;0,780507;0,813783;;0,033276;;;-0,020036;0,035918;;0,055954;
28;0,813783;;28;0,813783;0,867095;;0,053312;;;0,035918;-0,061254;;-0,097172;
29;0,867095;;29;0,867095;0,884489;;0,017394;;;-0,061254;-0,040566;;0,020688;
30;0,884489;;30;0,884489;0,963137;;0,078648;;;-0,040566;0,118827;;0,159393;
31;0,963137;;31;0,963137;1,082351;;0,119214;;;0,118827;-0,024135;;-0,142962;
32;1.082.351;;32;1,082351;1,082738;;0,000387;;;-0,024135;-0,009361;;0,014774;
33;1.082.738;;33;1,082738;1,10726;;0,024522;;;-0,009361;0,031934;;0,041295;
34;1.107.260;;34;1,10726;1,141143;;0,033883;;;0,031934;-0,020196;;-0,05213;
35;1.141.143;;35;1,141143;1,143092;;0,001949;;;-0,020196;0,002124;;0,02232;
36;1.143.092;;36;1,143092;1,165237;;0,022145;;;0,002124;0,019768;;0,017644;
37;1.165.237;;37;1,165237;1,185258;;0,020021;;;0,019768;-0,000749;;-0,020517;
