No.;Time;;No.;Time;Time 2;;Delay;Total Delay;;Delay 1;Delay 2;;Jitter;Total Jitter
14911;33883082;;14911;33,883082;33,909681;;0,026599;51,866009;;0,026599;0,000467;;-0,026132;0,060428
14912;33909681;;14912;33,909681;33,910148;;0,000467;Rata - rata Delay;;0,000467;3,653704;;3,653237;Rata - rata Jitter
14913;33910148;;14913;33,910148;37,563852;;3,653704;0,001610296;;3,653704;3,999695;;0,345991;1,87612E-06
14919;37563852;;14919;37,563852;41,563547;;3,999695;;;3,999695;4,001003;;0,001308;
16290;41563547;;16290;41,563547;45,56455;;4,001003;;;4,001003;0,031961;;-3,969042;
19995;45564550;;19995;45,56455;45,596511;;0,031961;;;0,031961;0,000492;;-0,031469;
19996;45596511;;19996;45,596511;45,597003;;0,000492;;;0,000492;0,034259;;0,033767;
19999;45597003;;19999;45,597003;45,631262;;0,034259;;;0,034259;0,0004;;-0,033859;
20007;45631262;;20007;45,631262;45,631662;;0,0004;;;0,0004;0,026703;;0,026303;
20008;45631662;;20008;45,631662;45,658365;;0,026703;;;0,026703;9,926373;;9,89967;
20009;45658365;;20009;45,658365;55,584738;;9,926373;;;9,926373;0,076607;;-9,849766;
23346;55584738;;23346;55,584738;55,661345;;0,076607;;;0,076607;0,926679;;0,850072;
23347;55661345;;23347;55,661345;56,588024;;0,926679;;;0,926679;0,050254;;-0,876425;
23385;56588024;;23385;56,588024;56,638278;;0,050254;;;0,050254;0,951494;;0,90124;
23387;56638278;;23387;56,638278;57,589772;;0,951494;;;0,951494;0,208727;;-0,742767;
23607;57589772;;23607;57,589772;57,798499;;0,208727;;;0,208727;0,793377;;0,58465;
24005;57798499;;24005;57,798499;58,591876;;0,793377;;;0,793377;0,048178;;-0,745199;
25406;58591876;;25406;58,591876;58,640054;;0,048178;;;0,048178;0,954058;;0,90588;
25413;58640054;;25413;58,640054;59,594112;;0,954058;;;0,954058;0,056051;;-0,898007;
25466;59594112;;25466;59,594112;59,650163;;0,056051;;;0,056051;0,946804;;0,890753;
25468;59650163;;25468;59,650163;60,596967;;0,946804;;;0,946804;0,170619;;-0,776185;
25530;60596967;;25530;60,596967;60,767586;;0,170619;;;0,170619;0,832377;;0,661758;
25836;60767586;;25836;60,767586;61,599963;;0,832377;;;0,832377;0,053112;;-0,779265;
26675;61599963;;26675;61,599963;61,653075;;0,053112;;;0,053112;0,949143;;0,896031;
26676;61653075;;26676;61,653075;62,602218;;0,949143;;;0,949143;0,049798;;-0,899345;
26677;62602218;;26677;62,602218;62,652016;;0,049798;;;0,049798;0,953641;;0,903843;
26678;62652016;;26678;62,652016;63,605657;;0,953641;;;0,953641;0,053355;;-0,900286;
26679;63605657;;26679;63,605657;63,659012;;0,053355;;;0,053355;0,949709;;0,896354;
26680;63659012;;26680;63,659012;64,608721;;0,949709;;;0,949709;0,053561;;-0,896148;
26692;64608721;;26692;64,608721;64,662282;;0,053561;;;0,053561;0,948387;;0,894826;
26834;64662282;;26834;64,662282;65,610669;;0,948387;;;0,948387;0,047421;;-0,900966;
28418;65610669;;28418;65,610669;65,65809;;0,047421;;;0,047421;0,954237;;0,906816;
28419;65658090;;28419;65,65809;66,612327;;0,954237;;;0,954237;0,052649;;-0,901588;
28428;66612327;;28428;66,612327;66,664976;;0,052649;;;0,052649;0,950283;;0,897634;
28429;66664976;;28429;66,664976;67,615259;;0,950283;;;0,950283;0,052079;;-0,898204;
28437;67615259;;28437;67,615259;67,667338;;0,052079;;;0,052079;0,952066;;0,899987;
28438;67667338;;28438;67,667338;68,619404;;0,952066;;;0,952066;0,053592;;-0,898474;
28439;68619404;;28439;68,619404;68,672996;;0,053592;;;0,053592;0,94894;;0,895348;
28440;68672996;;28440;68,672996;69,621936;;0,94894;;;0,94894;0,048961;;-0,899979;
28451;69621936;;28451;69,621936;69,670897;;0,048961;;;0,048961;0,95278;;0,903819;
28453;69670897;;28453;69,670897;70,623677;;0,95278;;;0,95278;0,051451;;-0,901329;
28454;70623677;;28454;70,623677;70,675128;;0,051451;;;0,051451;0,951835;;0,900384;
28455;70675128;;28455;70,675128;71,626963;;0,951835;;;0,951835;0,0532;;-0,898635;
28459;71626963;;28459;71,626963;71,680163;;0,0532;;;0,0532;0,948343;;0,895143;
28461;71680163;;28461;71,680163;72,628506;;0,948343;;;0,948343;0,053878;;-0,894465;
28464;72628506;;28464;72,628506;72,682384;;0,053878;;;0,053878;0,947247;;0,893369;
28465;72682384;;28465;72,682384;73,629631;;0,947247;;;0,947247;0,052718;;-0,894529;
